timestamp,keyword,branch,rank_local,match_title,match_link,match_address,match_telephone
20250929_1551,강남 한의원,강남,,,,,
20250929_1551,압구정 한의원,압구정,,,,,
20250929_1551,서초 한의원,서초교대,,,,,
20250929_1551,잠실 한의원,잠실,,,,,
20250929_1551,목동 한의원,목동,,,,,
20250929_1551,노원 한의원,노원,,,,,
20250929_1551,중랑 한의원,중랑,,,,,
20250929_1551,왕십리 한의원,왕십리,,,,,
20250929_1551,강동 한의원,강동,,,,,
20250929_1551,분당 한의원,분당,,,,,
20250929_1551,수원 한의원,수원시청,,,,,
20250929_1551,북수원 한의원,북수원,1,함소아한의원 북수원,https://www.hamsoa.com/reservation/01_v/3/,경기도 수원시 장안구 만석로19번길 29 부강프라자 4층 경기도 수원시 장안구 천천동 527-3 부강프라자 4층,
20250929_1551,용인 동백 한의원,용인동백,5,함소아한의원 용인동백점,https://www.hamsoa.com/reservation/01_v/36/,경기도 용인시 기흥구 동백죽전대로 444 메디컬센터 4층 경기도 용인시 기흥구 중동 833 메디컬센터 4층,
20250929_1551,의정부 한의원,의정부,,,,,
20250929_1551,파주 한의원,파주,,,,,
20250929_1551,산본 한의원,산본,,,,,
20250929_1551,평촌 한의원,평촌,,,,,
20250929_1551,부천 신중동 한의원,부천신중동,,,,,
20250929_1551,부천 한의원,부천시청,,,,,
20250929_1551,인천 청라 한의원,인천 청라,,,,,
20250929_1551,송도 한의원,인천 송도,,,,,
20250929_1551,청주 한의원,청주 복대,,,,,
20250929_1551,서대전 한의원,서대전,1,함소아한의원 서대전점,https://www.hamsoa.com/reservation/01_v/87/,대전광역시 중구 계룡로 876 3층 대전광역시 중구 오류동 151-1 3층,
20250929_1551,춘천 한의원,춘천,5,함소아한의원 춘천,https://blog.naver.com/hama-3chun,강원특별자치도 춘천시 퇴계로 188 2층 함소아한의원 강원특별자치도 춘천시 석사동 799-2 2층 함소아한의원,
20250929_1551,대구 달서 한의원,대구 달서,,,,,
20250929_1551,대구 수성 한의원,대구 수성,,,,,
20250929_1551,부산 서면 한의원,부산 서면,,,,,
20250929_1551,부산 해운대 한의원,부산 해운대,,,,,
20250929_1551,부산 동래 한의원,부산 동래,,,,,
20250929_1551,울산 한의원,울산,,,,,
20250929_1551,창원 한의원,창원,,,,,
20250929_1551,구미 한의원,구미,,,,,
20250929_1551,전주 한의원,전주,,,,,
20250929_1551,순천 한의원,순천,,,,,
20250929_1551,광주 수완 한의원,광주 수완,,,,,
